Beach Name,Code
Andrews Bay - Seward Park,0813SB
Beaver Lake Beach,A709SB
Echo Lake,A764SB
Enatai Beach,ENATAISB
Gene Coulon,0828SB
Green Lake- East,A734SB
Green Lake- West,A734WSB
Groveland Park Beach,GROVELDSB
Hidden Lake,0207SB
Houghton Beach,A422SB
Idylwood Beach,0602SB
Idylwood Creek,A620
John's Creek,0437E
Juanita Beach,0806SB
Juanita Creek,0446
Kennydale Beach,KNYDALESB
Lake Sammamish Beach,0615SB
Lake Wilderness Beach,O717SB
Luther Burbank Beach,SD017SB
Madison Park Beach,0852SB
Madrona Beach,SD007SB
Magnuson Beach,0826SB
Marina Park Beach,MARINAPSB
Matthews Beach,0818SB
Meydenbauer Bay Beach,0834SB
Mount Baker Beach,0820SB
NE 130th Pl,0805ASB
Newcastle Beach,083930SB
Pine Lake,E708SB
Pritchard Island Beach,4903SB
Rattlesnake Lake,A999SBE
Sammamish Landing Beach,SAMMLANDINGSB
Thornton Creek,A434
Waverly Park Beach,WAVRLYPSB
